gift_id,period_start,period_end,gift,recipient_first_name,recipient_last_name,recipient_title,value,department,lobbyist_id,lobbyist_firstname,lobbyist_lastname,created_date
5443,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,No,Michelle,Smith,Alderman,0,CITY COUNCIL / ALDERMEN,44601,Matthew,Fiascone,2018-01-03T00:00:00.000
5422,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Book,Edward,Burke,Mr,20,CITY COUNCIL / ALDERMEN,39881,William,Filan,2017-12-22T00:00:00.000
5401,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,N/A,N/A,N/A,N/A,0,CITY COUNCIL / ALDERMEN,42524,Pamela,Louik,2017-12-18T00:00:00.000
5381,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,Picture and Frame,Roberto,Maldonado,Alderman,14.43,CITY COUNCIL / ALDERMEN,45581,Elizabeth,Kregor,2017-10-20T00:00:00.000
5361,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,HOUSING AND ECONOMIC DEVELOPMENT,39885,Lewis,Powell,2017-10-18T00:00:00.000
5343,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,0,Lissa,Christman,Lobbyist,0,CITY COUNCIL / ALDERMEN,39913,Lissa,Christman,2017-10-16T00:00:00.000
5341,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,na,Samantha,Fields,Budget Director,0,BUDGET AND MANAGEMENT,42965,Timothy,Walker,2017-10-16T00:00:00.000
5322,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,None,None,None,None,0,BUILDINGS,39842,John,Suzuki,2017-10-12T00:00:00.000
5321,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,Host gift,Steve,Koch,Deputy Mayor,17.5,MAYORS OFFICE,43962,William,Glunz,2017-10-10T00:00:00.000
5301,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,39007,Morgan,Bassey,2017-10-04T00:00:00.000
5281,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,0,None,None,None,0,BOARD OF ETHICS,48141,Monica,Sekulich,2017-10-02T00:00:00.000
5269,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,Baseball Ticket,Gilbert,Villegas,Alderman,45,CITY COUNCIL / ALDERMEN,39381,Eva-Dina,Delgado,2017-09-28T00:00:00.000
5268,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,Baseball Ticket,Michelle,Harris,Alderman,45,CITY COUNCIL / ALDERMEN,39381,Eva-Dina,Delgado,2017-09-28T00:00:00.000
5267,2017-07-01T00:00:00.000,2017-09-30T00:00:00.000,Baseball Ticket,Greg,Mitchell,Alderman,45,CITY COUNCIL / ALDERMEN,39381,Eva-Dina,Delgado,2017-09-28T00:00:00.000
5221,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,0,None,None,None,0,HEALTH DEPARTMENT,44021,Ruby,Haughton,2017-07-18T00:00:00.000
5205,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,HOUSING AND ECONOMIC DEVELOPMENT,39885,Lewis,Powell,2017-07-17T00:00:00.000
5204,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,Food/Beverage,Ray,Lopez,Alderman,44.35,CITY COUNCIL / ALDERMEN,44882,Matthew,Summy,2017-07-17T00:00:00.000
5203,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,Food/Beverage,Brian,Hopkins,Alderman,5.84,CITY COUNCIL / ALDERMEN,44882,Matthew,Summy,2017-07-17T00:00:00.000
5181,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,Cake,David,Moore,Alderman,13.5,CITY COUNCIL / ALDERMEN,42624,Wojtek,Gil,2017-07-10T00:00:00.000
5161,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,39007,Morgan,Bassey,2017-07-06T00:00:00.000
5141,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,n/a,Rahm,Emanuel,Mayor,0,MAYORS OFFICE,46005,Lynn,Cox,2017-07-06T00:00:00.000
5121,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,NA,None,None,None,0,BUILDINGS,46981,Moises,Cukierman,2017-07-05T00:00:00.000
5081,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,0,Steven,Ginsberg,Attorney,0,CHICAGO PUBLIC SCHOOLS,39281,Steven,Ginsberg,2017-07-05T00:00:00.000
5061,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,NA,None,None,None,0,BUILDINGS,44522,Moises,Cukierman,2017-06-30T00:00:00.000
5041,2017-04-01T00:00:00.000,2017-06-30T00:00:00.000,None,None,None,None,0,BUILDINGS,39842,John,Suzuki,2017-06-28T00:00:00.000
5022,2017-01-01T00:00:00.000,2017-03-31T00:00:00.000,Food/Beverage,Willie,Cochran,Alderman,42.45,CITY COUNCIL / ALDERMEN,40277,YaFawn,Smith,2017-04-20T00:00:00.000
5021,2017-01-01T00:00:00.000,2017-03-31T00:00:00.000,Food/Beverage,Toni,Foulkes,Alderman,42.45,CITY COUNCIL / ALDERMEN,40277,YaFawn,Smith,2017-04-20T00:00:00.000
4981,2017-01-01T00:00:00.000,2017-03-31T00:00:00.000,meal,Jason,Ervin,Alderman,50,CITY COUNCIL / ALDERMEN,43643,Sam,Balark,2017-04-17T00:00:00.000
4941,2017-01-01T00:00:00.000,2017-03-31T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,39007,Morgan,Bassey,2017-04-03T00:00:00.000
4921,2017-01-01T00:00:00.000,2017-03-31T00:00:00.000,0,None,None,None,0,BUILDINGS,39842,John,Suzuki,2017-04-03T00:00:00.000
4865,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Darlena,Burnett,Wife of Ald,44.82,CITY COUNCIL / ALDERMEN,41243,Marlow,Colvin,2017-02-08T00:00:00.000
4864,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Walter,Burnett,Ald,44.82,CITY COUNCIL / ALDERMEN,41243,Marlow,Colvin,2017-02-08T00:00:00.000
4863,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Michelle,Smith,Ald,44.82,CITY COUNCIL / ALDERMEN,41242,Marlow,Colvin,2017-02-08T00:00:00.000
4862,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Walter,Burnett,Ald,44.82,CITY COUNCIL / ALDERMEN,41242,Marlow,Colvin,2017-02-08T00:00:00.000
4861,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Darlena,Burnett,Wife of Ald,44.82,CITY COUNCIL / ALDERMEN,41242,Marlow,Colvin,2017-02-08T00:00:00.000
4825,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Yes,Ed,Burke,Alderman,300,CITY COUNCIL / ALDERMEN,40407,Bridget,O'Keefe,2017-01-23T00:00:00.000
4824,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Yes,Ed,Burke,Alderman,300,CITY COUNCIL / ALDERMEN,40406,Bridget,O'Keefe,2017-01-23T00:00:00.000
4823,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Yes,Ed,Burke,Alderman,300,CITY COUNCIL / ALDERMEN,40343,Bridget,O'Keefe,2017-01-23T00:00:00.000
4801,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,meal / dinner,Scott,Yonover,Deputy Director of Financial Policy,45,FINANCE,31706,Michael,Hamilton,2017-01-20T00:00:00.000
4763,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Michelle,Smith,Ald,44.82,CITY COUNCIL / ALDERMEN,40027,Marlow,Colvin,2017-01-18T00:00:00.000
4762,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Walter,Burnett,Ald,44.82,CITY COUNCIL / ALDERMEN,40027,Marlow,Colvin,2017-01-18T00:00:00.000
4761,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Darlena,Burnett,Wife of Ald,44.82,CITY COUNCIL / ALDERMEN,40027,Marlow,Colvin,2017-01-18T00:00:00.000
4745,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Leanna,McKeon,Senior Energy Analyst,16,CHICAGO HOUSING AUTHORITY,39862,Michael,Henry,2017-01-17T00:00:00.000
4744,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Ellen,Sargent,Director of Sustainable Initiatives,16,CHICAGO HOUSING AUTHORITY,39862,Michael,Henry,2017-01-17T00:00:00.000
4743,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Margaret,Hansbrough,Energy Engagement Manager,16,MAYORS OFFICE,39862,Michael,Henry,2017-01-17T00:00:00.000
4742,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Darlena,Burnett,Wife of Ald,44.82,CITY COUNCIL / ALDERMEN,29938,Marlow,Colvin,2017-01-17T00:00:00.000
4741,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Walter,Burnett,Ald,44.82,CITY COUNCIL / ALDERMEN,29938,Marlow,Colvin,2017-01-17T00:00:00.000
4723,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Candy,Carl,Erickson,Adm. Assistant,10,CITY COUNCIL / ALDERMEN,30605,Constance,Zaio,2017-01-16T00:00:00.000
4722,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Candy,Edith,Stinson,Staff Assistant,10,FINANCE,30605,Constance,Zaio,2017-01-16T00:00:00.000
4706,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Cookies,Tracy,Sanchez,Deputy Commissioner,20,PLANNING AND DEVELOPMENT,37045,Stephen,Friedman,2017-01-13T00:00:00.000
4705,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Cookies,Kathleen,Dickhut,Deputy Commissioner,20,PLANNING AND DEVELOPMENT,37045,Stephen,Friedman,2017-01-13T00:00:00.000
4704,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Cookies,Mary,Bonome,Deputy Commissioner Business Dev,20,PLANNING AND DEVELOPMENT,37045,Stephen,Friedman,2017-01-13T00:00:00.000
4703,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Cookies,Jim,Horan,Deputy Commissioner TIF Admin,20,PLANNING AND DEVELOPMENT,37045,Stephen,Friedman,2017-01-13T00:00:00.000
4702,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Cookies,Brad,McConnell,Deputy Commissioner Plnng & Dev,20,PLANNING AND DEVELOPMENT,37045,Stephen,Friedman,2017-01-13T00:00:00.000
4701,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Cookies,David,Relfman,Commissioner,36,PLANNING AND DEVELOPMENT,37045,Stephen,Friedman,2017-01-13T00:00:00.000
4681,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Yes,Ed,Burke,Alderman,300,CITY COUNCIL / ALDERMEN,37162,Bridget,O'Keefe,2017-01-13T00:00:00.000
4661,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Cookies,Scott,Yonover,Director,25,FINANCE,33521,Michael,Nichols,2017-01-12T00:00:00.000
4642,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Roderick,Sawyer,Alderman,13.64,CITY COUNCIL / ALDERMEN,36623,David,Gross,2017-01-09T00:00:00.000
4641,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Meal,Brian,Hopkins,Alderman,6.77,CITY COUNCIL / ALDERMEN,30083,Arthur,Wilhelmi,2017-01-09T00:00:00.000
4621,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,0,None,None,None,0,BUILDINGS,29301,John,Suzuki,2017-01-09T00:00:00.000
4601,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,29744,Morgan,Bassey,2017-01-03T00:00:00.000
4581,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,BOOK,WILLIAM,FILAN,ALDERMAN,25,CITY COUNCIL / ALDERMEN,37681,William,Filan,2016-12-20T00:00:00.000
4561,2016-10-01T00:00:00.000,2016-12-31T00:00:00.000,Wine,Edward,Burke,Alderman,25,CITY COUNCIL / ALDERMEN,29442,Christopher,Lentino,2016-12-19T00:00:00.000
4841,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,N/A,Glen,Lyman,Chief,0,FIRE DEPARTMENT,40964,Amit,Kapoor,2017-02-01T00:00:00.000
4541,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,N/A,Thom,Serafin,Mr.,0,BOARD OF ETHICS,37601,Thom,Serafin,2016-11-11T00:00:00.000
4522,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,None,None,None,None,0,BUILDINGS,29301,John,Suzuki,2016-10-31T00:00:00.000
4521,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,none,none,none,none,0,TRANSPORTATION,35641,Paul,Leddy,2016-10-31T00:00:00.000
4501,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,N/A,Thom,Serafin,Mr.,0,BOARD OF ETHICS,30408,Thom,Serafin,2016-10-25T00:00:00.000
4482,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,lunch,Michelle,Smith,alderman,31,CITY COUNCIL / ALDERMEN,29905,Kristopher,Anderson,2016-10-21T00:00:00.000
4481,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,dinner,Michelle,Harris,alderman,35,CITY COUNCIL / ALDERMEN,29905,Kristopher,Anderson,2016-10-21T00:00:00.000
4461,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,Meal,Steve,Lux,CFO,19,PARK DISTRICT,29144,Carlos,Pineiro,2016-10-20T00:00:00.000
4421,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,breakfast during DNC,Leslie,Hairston,alderman,17.39,CITY COUNCIL / ALDERMEN,30464,Sam,Balark,2016-10-19T00:00:00.000
4401,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,Meal,Brian,Hopkins,Alderman,6.77,CITY COUNCIL / ALDERMEN,30083,Arthur,Wilhelmi,2016-10-12T00:00:00.000
4381,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,29744,Morgan,Bassey,2016-10-04T00:00:00.000
4361,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,none,Jeff,Rock,VP Enforcement,0,FINANCE,30055,Jeff,Rock,2016-10-03T00:00:00.000
4341,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,N/A,Glen,Lyman,Chief,0,FIRE DEPARTMENT,35882,Jeremy,Henthorn,2016-09-30T00:00:00.000
4303,2016-07-01T00:00:00.000,2016-09-30T00:00:00.000,0,Glen,Lyman,Chief,0,FIRE DEPARTMENT,33182,James,Richardson,2016-07-22T00:00:00.000
4302,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,na,Glen,Lyman,Chief,0,FIRE DEPARTMENT,33182,James,Richardson,2016-07-22T00:00:00.000
4261,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,Lunch,Michelle,Harris,Alderman,19,CITY COUNCIL / ALDERMEN,35081,Jenelle,Alexander,2016-07-20T00:00:00.000
4241,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,meal/drink,Roderick,Sawyer,Alderman,32,CITY COUNCIL / ALDERMEN,29381,Michael,Reever,2016-07-19T00:00:00.000
4222,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,Meal,Miriam,Martinez,Chief Investment Officer,46.57,CITY TREASURER,34841,Marc,Dietrich,2016-07-14T00:00:00.000
4201,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,None,Brittany,Peterson,Mrs,0,BUDGET AND MANAGEMENT,29402,Brittany,Peterson,2016-07-14T00:00:00.000
4181,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,Meal,Miriam,Martinez,Chief Investment Office,46.57,CITY TREASURER,29781,Marc,Dietrich,2016-07-13T00:00:00.000
4162,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,0,None,None,None,0,BUILDINGS,29301,John,Suzuki,2016-07-11T00:00:00.000
4161,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,0,None,None,None,0,BUILDINGS,29301,John,Suzuki,2016-07-11T00:00:00.000
4141,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,none,Jeff,Rock,VP- Enforcement Sales,0,FINANCE,30055,Jeff,Rock,2016-07-07T00:00:00.000
4121,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,29744,Morgan,Bassey,2016-07-06T00:00:00.000
4101,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,None,None,................None.................,None,0,LEGISLATIVE COUNCIL & GOV'T AFFAIRS,32363,Brendan,Shiller,2016-07-06T00:00:00.000
4081,2016-04-01T00:00:00.000,2016-06-30T00:00:00.000,0,Anthony,Guest,Political Coordinatoor,0,CITY COUNCIL / ALDERMEN,30269,Anthony,Guest,2016-06-30T00:00:00.000
4281,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,N/A,Margaret,Anderson,Partner,20000,TRANSPORTATION,35101,Margaret,Anderson,2016-07-20T00:00:00.000
4061,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,N/A,Margaret,Anderson,Partner,20000,TRANSPORTATION,34001,Margaret,Anderson,2016-06-10T00:00:00.000
4041,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,N/A,Margaret,Anderson,Partner,20000,TRANSPORTATION,33961,Margaret,Anderson,2016-06-09T00:00:00.000
4021,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,None,None,None,None,0,BUILDINGS,29301,John,Suzuki,2016-05-02T00:00:00.000
4001,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,0,Anthony,Guest,Political Coodinator,0,CITY COUNCIL / ALDERMEN,30269,Anthony,Guest,2016-04-25T00:00:00.000
3986,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,meal,ray,lopez,alderman,17,CITY COUNCIL / ALDERMEN,29381,Michael,Reever,2016-04-19T00:00:00.000
3985,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,meal,michael,scott,alderman,45,CITY COUNCIL / ALDERMEN,29381,Michael,Reever,2016-04-19T00:00:00.000
3984,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,meal/drinks,Adam,Gypalo,COS,30,CITY COUNCIL / ALDERMEN,29381,Michael,Reever,2016-04-19T00:00:00.000
3961,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,N/A,Margaret,Anderson,Partner,20000,TRANSPORTATION,30465,Margaret,Anderson,2016-04-18T00:00:00.000
3943,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,Breakfast meeting,George,Helding,Special Assistant to the City Treasurer,40,CITY TREASURER,30056,Stacy,Stoll,2016-04-18T00:00:00.000
3942,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,Breakfast meeting,Luis,Frausto,Assistant City Treasurer,40,CITY TREASURER,30056,Stacy,Stoll,2016-04-18T00:00:00.000
3941,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,Breakfast meeting,Miriam,Martinez,Chief Investment Officer,40,CITY TREASURER,30056,Stacy,Stoll,2016-04-18T00:00:00.000
3921,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,0,DANIEL,SOLIS,ALDEMAN,0,ZONING COMMITTEE,31282,Efrain,Elias,2016-04-15T00:00:00.000
3901,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,N/A,Brittany,Peterson,Mrs,0,BOARD OF ETHICS,29402,Brittany,Peterson,2016-04-11T00:00:00.000
3881,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,29744,Morgan,Bassey,2016-04-07T00:00:00.000
3841,2016-01-01T00:00:00.000,2016-03-31T00:00:00.000,none,jeff,rock,VP enforcement sales,0,FINANCE,30055,Jeff,Rock,2016-04-04T00:00:00.000
3781,2015-10-01T00:00:00.000,2015-12-31T00:00:00.000,none,none,none,none,0,AVIATION,23053,Eric,Locke,2016-01-26T00:00:00.000
3761,2015-10-01T00:00:00.000,2015-12-31T00:00:00.000,book,Ed,Burke,Ald,20,CITY COUNCIL / ALDERMEN,28201,William,Filan,2016-01-22T00:00:00.000
3741,2015-10-01T00:00:00.000,2015-12-31T00:00:00.000,0,Andrew,Cubria,Assistant Vice President,0,FINANCE,23741,Andrew,Cubria,2016-01-20T00:00:00.000
3702,2015-10-01T00:00:00.000,2015-12-31T00:00:00.000,Candy,Carl,Erickson,Admin,10,CITY COUNCIL / ALDERMEN,22996,Constance,Zaio,2016-01-18T00:00:00.000
3701,2015-10-01T00:00:00.000,2015-12-31T00:00:00.000,Candy,Edith,Stinson,Staff Assist.,10,FINANCE,22996,Constance,Zaio,2016-01-18T00:00:00.000
3681,2015-10-01T00:00:00.000,2015-12-31T00:00:00.000,None,None,None,None,0,BUILDINGS,29301,John,Suzuki,2016-01-08T00:00:00.000
3661,2015-10-01T00:00:00.000,2015-12-31T00:00:00.000,Lunch,Will,Burns,Alderman,18.47,CITY COUNCIL / ALDERMEN,27863,COURTNEY,NOTTAGE,2016-01-05T00:00:00.000
3641,2015-10-01T00:00:00.000,2015-12-31T00:00:00.000,NONE,N/A,N/A,N/A,0,FINANCE,22394,Morgan,Bassey,2016-01-04T00:00:00.000
3622,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,0,none,none,none,0,WATER MANAGEMENT,26681,Jonathan,Meckstroth,2015-10-26T00:00:00.000
3610,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Roderick,Sawyers,6th Ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3609,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Walter,Burnett,27th Ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3608,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Luncg,Leslie,Hairston,5th Ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3607,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Jason,Ervin,28th Ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3606,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Will,Burns,4th Ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3605,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,David,Moore,17th Ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3604,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Tom,Foulkes,16th ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3603,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,"Michael, Jr.",Scott,24th Ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3602,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Greg,Mitchell,9th Ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3601,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Howard,Brookins,21st Ward,129.58,CITY COUNCIL / ALDERMEN,28021,James,Sullivan,2015-10-23T00:00:00.000
3561,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,lunch,William,Burns,Alderman,23.4,CITY COUNCIL / ALDERMEN,27875,Jaclene,Robinson-Ivy,2015-10-19T00:00:00.000
3545,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Anthony,Napolitano,Alderman,10.87,CITY COUNCIL / ALDERMEN,23010,Margaret,Houlihan Smith,2015-10-14T00:00:00.000
3544,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Michael,Zalewksi,Alderman,42.28,CITY COUNCIL / ALDERMEN,23010,Margaret,Houlihan Smith,2015-10-14T00:00:00.000
3543,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,none,none,None,none,0,AVIATION,23053,Eric,Locke,2015-10-13T00:00:00.000
3541,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,meal,Adam,Gypalo,chief of staff,8.95,CITY COUNCIL / ALDERMEN,22936,Richard,Erickson,2015-10-09T00:00:00.000
3531,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,David,Moore,17th Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3530,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Pat,Dowell,3rd Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3529,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Tom,Foulkes,16th ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3528,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Jason,Ervin,28th Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3527,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Howard,Brookins,21st Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3526,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Will,Burns,4th Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3525,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,"Michael, Jr.",Scott,24th Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3524,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Luncg,Leslie,Hairston,5th Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3523,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Walter,Burnett,27th Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3522,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Greg,Mitchell,9th Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3521,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,Lunch,Roderick,Sawyers,6th Ward,129.58,CITY COUNCIL / ALDERMEN,22364,James,Sullivan,2015-10-05T00:00:00.000
3501,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,None,None,None,None,0,BUILDINGS,22513,John,Suzuki,2015-09-30T00:00:00.000
3481,2015-07-01T00:00:00.000,2015-09-30T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,22394,Morgan,Bassey,2015-09-28T00:00:00.000
3425,2015-04-01T00:00:00.000,2015-06-30T00:00:00.000,refreshments and lunch,Harry,Osterman,Alderman of the 48th Ward,22.47,CITY COUNCIL / ALDERMEN,22743,Olga,Gutierrez,2015-07-16T00:00:00.000
3424,2015-04-01T00:00:00.000,2015-06-30T00:00:00.000,refreshments and lunch,Karen,Dreyfuss,48th Ward Education Liaison,22.47,CITY COUNCIL / ALDERMEN,22743,Olga,Gutierrez,2015-07-16T00:00:00.000
